full_name,email,nim,password
Pikachu,pikachu@itb.ac.id,18126004,student123
Charmander,charmander@itb.ac.id,18126005,student123
Bulbasaur,bulbasaur@itb.ac.id,18126006,student123
Squirtle,squirtle@itb.ac.id,18126007,student123
Eevee,eevee@itb.ac.id,18126008,student123
Snorlax,snorlax@itb.ac.id,18126009,student123
Mewtwo,mewtwo@itb.ac.id,18126010,student123
Mew,mew@itb.ac.id,18126011,student123
Lugia,lugia@itb.ac.id,18126012,student123
Hooh,hooh@itb.ac.id,18126013,student123
Celebi,celebi@itb.ac.id,18126014,student123
Jirachi,jirachi@itb.ac.id,18126015,student123
Deoxys,deoxys@itb.ac.id,18126016,student123
Rayquaza,rayquaza@itb.ac.id,18126017,student123
Groudon,groudon@itb.ac.id,18126018,student123
Kyogre,kyogre@itb.ac.id,18126019,student123
Palkia,palkia@itb.ac.id,18126020,student123
Dialga,dialga@itb.ac.id,18126021,student123
Giratina,giratina@itb.ac.id,18126022,student123
Arceus,arceus@itb.ac.id,18126023,student123
Darkrai,darkrai@itb.ac.id,18126024,student123
Shaymin,shaymin@itb.ac.id,18126025,student123
Victini,victini@itb.ac.id,18126026,student123
Zekrom,zekrom@itb.ac.id,18126027,student123
Reshiram,reshiram@itb.ac.id,18126028,student123
Kyurem,kyurem@itb.ac.id,18126029,student123
Xerneas,xerneas@itb.ac.id,18126030,student123
Yveltal,yveltal@itb.ac.id,18126031,student123
Zygarde,zygarde@itb.ac.id,18126032,student123
Solgaleo,solgaleo@itb.ac.id,18126033,student123
Lunala,lunala@itb.ac.id,18126034,student123
Necrozma,necrozma@itb.ac.id,18126035,student123
Zacian,zacian@itb.ac.id,18126036,student123
Zamazenta,zamazenta@itb.ac.id,18126037,student123
Eternatus,eternatus@itb.ac.id,18126038,student123
Kubfu,kubfu@itb.ac.id,18126039,student123
Urshifu,urshifu@itb.ac.id,18126040,student123
Calyrex,calyrex@itb.ac.id,18126041,student123
Articuno,articuno@itb.ac.id,18126042,student123
Zapdos,zapdos@itb.ac.id,18126043,student123
Moltres,moltres@itb.ac.id,18126044,student123
Raikou,raikou@itb.ac.id,18126045,student123
Entei,entei@itb.ac.id,18126046,student123
Suicune,suicune@itb.ac.id,18126047,student123
Regirock,regirock@itb.ac.id,18126048,student123
Regice,regice@itb.ac.id,18126049,student123
Registeel,registeel@itb.ac.id,18126050,student123
Latias,latias@itb.ac.id,18126051,student123
Latios,latios@itb.ac.id,18126052,student123
Jigglypuff,jigglypuff@itb.ac.id,18126053,student123
